id,index,period,timestamp,minute,second,type,possession,possession_team,play_pattern,team,player,position,location,duration,related_events,match_id,possession_team_id,team_id,player_id
df29ad85-26bc-4d74-a630-ed4535d5f31c,2906,2,00:30:27.841,75,27,Own Goal Against,103,Netherlands,From Corner,Turkey,Mert Müldür,Right Wing Back,"[5.6, 47.4]",0.0,['a4926dc7-8aee-476f-b60b-3faaf023f3c1'],3942382,941,909,10826
ecf76785-e8c2-490e-8c25-0660fcac48d5,277,1,00:05:49.293,5,49,Own Goal Against,9,Austria,Regular Play,Netherlands,Donyell Malen,Right Wing,"[12.0, 46.9]",0.0,['695c3835-bbf6-435f-bee9-295a4bac0f7f'],3930180,915,941,15582
66a8a3df-81c1-4f21-9b9c-1e3d1e408375,3677,2,00:39:30.038,84,30,Own Goal Against,122,France,Regular Play,Belgium,Jan Vertonghen,Left Center Back,"[10.6, 31.0]",0.0,['1ea308c6-0961-44d3-8149-d4ceda613a75'],3941019,771,782,3077
a002024e-11e5-46c3-88e7-a0e71122c6c9,762,1,00:17:14.265,17,14,Own Goal Against,25,Georgia,From Free Kick,Spain,Robin Aime Robert Le Normand,Right Center Back,"[7.4, 43.5]",0.0,['e938824e-cedc-4897-aefe-1f122e595280'],3941018,2138,772,22128
ab05a114-88e5-4ed3-9cd7-19cf68eef8e9,2372,2,00:09:04.885,54,4,Own Goal Against,98,Spain,Regular Play,Italy,Riccardo Calafiori,Left Center Back,"[4.2, 38.5]",0.0,['9737a916-abc2-4112-a73f-3f9b2013e7fa'],3930172,772,914,41768
d127b59d-1c50-4090-bf59-0c448315ee17,3023,2,00:30:44.807,75,44,Own Goal Against,133,Croatia,Regular Play,Albania,Klaus Gjasula,Right Center Midfield,"[8.0, 42.5]",0.0,['3d9702b7-5e0f-4755-84bb-3846369ae6c0'],3930167,785,906,9893
1fc2f652-d033-4ea7-88c7-ef2fa37c565d,1507,1,00:37:31.373,37,31,Own Goal Against,75,France,Regular Play,Austria,Maximilian Wöber,Left Center Back,"[4.9, 37.0]",0.0,['b62812f6-ffce-4b58-bdfa-cc6050687ca5'],3930165,771,915,8068
21fa7a32-cec8-4345-b023-c6581a7856a3,1142,1,00:28:00.176,28,0,Own Goal Against,42,Portugal,From Throw In,Turkey,Samet Akaydin,Right Center Back,"[20.2, 26.0]",0.0,['61c18c0a-a89c-4bb0-97a9-47c1ce0d2d58'],3930174,780,909,133305
ed70cbdb-8f32-4339-b1b1-3306f4733899,2795,2,00:23:52.209,68,52,Own Goal Against,109,Portugal,From Throw In,Czech Republic,Robin Hranáč,Center Back,"[3.9, 40.9]",0.0,['0f259575-ec6c-467b-91b2-dce8a83bc50e'],3930166,780,912,81330
5f131b45-721a-4555-bc1b-a3dcf7f6ca8c,3101,2,00:41:32.702,86,32,Own Goal Against,132,Scotland,From Free Kick,Germany,Antonio Rüdiger,Right Center Back,"[10.3, 32.8]",0.0,['deb84edb-b9fb-45a3-98e1-a6b1d256ea03'],3930158,942,770,3167
